freq,survival,walk_time,dist_xy,dist_fwd,dx,dy
1.0,30.00199999999425,23.00199999999425,0.197859359640677,0.04309199651040242,0.19310982894240838,-0.04309199651040242
1.02,30.00199999999425,23.00199999999425,0.16114437794178307,0.036424899950397764,0.1569736831632861,-0.036424899950397764
1.04,30.00199999999425,23.00199999999425,0.15890252245905526,0.029163287012530816,0.1562034389329355,-0.029163287012530816
1.06,30.00199999999425,23.00199999999425,0.15632207469195783,0.03748518538990771,0.1517611673396139,-0.03748518538990771
1.08,30.00199999999425,23.00199999999425,0.16338338247631248,0.03485243606241188,0.15962279714976962,-0.03485243606241188
1.1,30.00199999999425,23.00199999999425,0.1434586634949108,0.03429657641296341,0.1392987185084479,-0.03429657641296341
1.12,30.00199999999425,23.00199999999425,0.1513772294215777,0.030777277282466542,0.1482154674466573,-0.030777277282466542
1.14,30.00199999999425,23.00199999999425,0.13219486053014762,0.030220234548704095,0.12869428337889174,-0.030220234548704095
1.16,30.00199999999425,23.00199999999425,0.14735496845874263,0.027403796701996604,0.14478438678183736,-0.027403796701996604
1.18,30.00199999999425,23.00199999999425,0.1315749828434464,0.02807260105572644,0.12854534289587952,-0.02807260105572644
1.2,30.00199999999425,23.00199999999425,0.1517621951248083,0.027467751373128943,0.14925577544471894,-0.027467751373128943
1.22,30.00199999999425,23.00199999999425,0.13438636045320332,0.029092098209066983,0.13119963299358842,-0.029092098209066983
1.24,30.00199999999425,23.00199999999425,0.15390943171977153,0.027694155403580514,0.151397314800446,-0.027694155403580514
1.26,30.00199999999425,23.00199999999425,0.15329502895087546,0.02936696110305336,0.1504557991458671,-0.02936696110305336
1.28,30.00199999999425,23.00199999999425,0.17910070911105708,0.029818309130873303,0.1766010544834293,-0.029818309130873303
1.3,30.00199999999425,23.00199999999425,0.1667120439769356,0.026338985792406566,0.16461823542486145,-0.026338985792406566
1.32,30.00199999999425,23.00199999999425,0.1759098508629538,0.026823887156516832,0.17385268105048338,-0.026823887156516832
1.34,30.00199999999425,23.00199999999425,0.14904674387978442,0.020489201719134056,0.14763171906497155,-0.020489201719134056
1.36,30.00199999999425,23.00199999999425,0.15923503377575524,0.0221839067829656,0.15768218117913832,-0.0221839067829656
1.38,30.00199999999425,23.00199999999425,0.13952304002842625,0.016191332918408987,0.13858037175985305,-0.016191332918408987
1.4,30.00199999999425,23.00199999999425,0.15928765322751245,0.013444321655379064,0.15871927005236308,-0.013444321655379064
1.42,30.00199999999425,23.00199999999425,0.1508744256887018,0.0014027438489620059,0.15086790459401828,-0.0014027438489620059
1.44,30.00199999999425,23.00199999999425,0.17727870204534374,0.005813617880877954,0.17718335149222372,0.005813617880877954
1.46,30.00199999999425,23.00199999999425,0.17854708015040752,0.0672938957247761,0.16538014218284794,0.0672938957247761
1.48,30.00199999999425,23.00199999999425,0.26395224443648624,0.2636215982150384,0.013207584851419908,0.2636215982150384
1.5,30.00199999999425,23.00199999999425,0.2645598610545473,0.1922474979013852,-0.18174933186083045,0.1922474979013852
1.52,30.00199999999425,23.00199999999425,0.1978021791751445,0.02936432973472793,-0.19561042463444056,0.02936432973472793
1.54,30.00199999999425,23.00199999999425,0.051588545529873055,0.013992854916559473,-0.04965458731247197,-0.013992854916559473
1.56,30.00199999999425,23.00199999999425,0.05526891238469349,0.05098566435571642,0.021333417597589784,0.05098566435571642
1.58,30.00199999999425,23.00199999999425,1.1349805690185448,0.8126554800760816,-0.792320618658869,0.8126554800760816
1.6,30.00199999999425,23.00199999999425,1.1699860174239103,1.142793282214748,-0.2507803722229989,1.142793282214748
1.62,30.00199999999425,23.00199999999425,1.1554517238290403,1.155135859768419,-0.0270153951771268,1.155135859768419
1.64,30.00199999999425,23.00199999999425,1.127620063428359,1.1180065785866824,0.14692956708258892,1.1180065785866824
1.66,30.00199999999425,23.00199999999425,1.1275983569273653,1.10764647643983,0.21118081772671257,1.10764647643983
1.68,30.00199999999425,23.00199999999425,1.0944196077265191,1.050499109941051,0.30692979293207695,1.050499109941051
1.7,30.00199999999425,23.00199999999425,1.1141904585223845,1.0901178432346716,0.2303550861685266,1.0901178432346716
1.72,30.00199999999425,23.00199999999425,1.1030005786726111,1.0881841137035608,0.18018216125718672,1.0881841137035608
1.74,30.00199999999425,23.00199999999425,1.1006638400236515,1.0839029590137517,0.19135115410376752,1.0839029590137517
1.76,30.00199999999425,23.00199999999425,1.0826568182937424,1.0693622626162678,0.16914531471532374,1.0693622626162678
1.78,30.00199999999425,23.00199999999425,1.0564092942406378,1.0554240051070247,0.045615418466234244,1.0554240051070247
1.8,30.00199999999425,23.00199999999425,1.036500955034512,1.0215502186082732,0.17541203108351677,1.0215502186082732
1.82,30.00199999999425,23.00199999999425,1.0066701036993981,1.0044570008534048,0.06671454952812005,1.0044570008534048
1.84,30.00199999999425,23.00199999999425,0.9843103324384606,0.9781885861944516,0.10960803065475062,0.9781885861944516
1.86,30.00199999999425,23.00199999999425,0.9511510560829722,0.9470614724060293,0.08810731508721029,0.9470614724060293
1.88,30.00199999999425,23.00199999999425,0.9109871206032292,0.9058790760514086,0.09633604453790251,0.9058790760514086
1.9,30.00199999999425,23.00199999999425,0.8769083478564493,0.872993416602439,0.08276922803269308,0.872993416602439
1.92,30.00199999999425,23.00199999999425,0.848586241711431,0.841656379865872,0.10822729717130584,0.841656379865872
1.94,30.00199999999425,23.00199999999425,0.7954106200503799,0.7907610207784598,0.0858781841117881,0.7907610207784598
1.96,30.00199999999425,23.00199999999425,0.7679636159170113,0.7574792320622747,0.12646473171077224,0.7574792320622747
1.98,30.00199999999425,23.00199999999425,0.7238902580426111,0.721205799660411,0.06228402865249848,0.721205799660411
2.0,30.00199999999425,23.00199999999425,0.7010740860706269,0.6924139082539873,0.10985378380467224,0.6924139082539873
